author_year,study_id,esid,theory,narrative-synthesis,Pairs of Groups,DV,n_exp,n_con,sample_size,yi,vi,form_of_cognition,measurment_type,sim_acc,task_team,occupation,pub_type,comparison_group,digital_tech,shuffler_tdi_category,IMO_tdi_category,tdi_mechanism,ROB,n_ind,n_team,t_size,sex,age
Cooke et al. (2003),8,65,none mentioned,promising,CT-75 / Control,Taskwork - Overall Accuracy,9,9,36,-1.610007723,0.287243854,Structured,Subjective,Accuracy,Task,University Students,Journal,No Treatment,NO,team training,multicomponent,interpositional knowledge or training,Some concerns,-65.13888889,-16.44444444,-0.416666667,-0.061,-0.573076923
Marks et al. (2002),24,103,none mentioned,effective,Positional Modeling / No Cross-training,Mental Model Similarity,15,15,45,1.459459459,0.166216216,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team training,multicomponent,interpositional knowledge or training,Some concerns,-38.13888889,-7.444444444,-0.416666667,0.209,-3.173076923
Marks et al. (2002),24,104,none mentioned,effective,Positional Clarification / No Cross-training,Mental Model Similarity,15,15,45,1.34322517,0.16063593,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team training,multicomponent,interpositional knowledge or training,Some concerns,-38.13888889,-7.444444444,-0.416666667,0.209,-3.173076923
Marks et al. (2000),23,100,none mentioned,effective,Team Interaction only / Control,Mental Model Accuracy,19.5,19.5,79,1.5503,0.1347,Structured,Subjective,Accuracy,Team,University Students,Journal,No Treatment,NO,team training,multicomponent,shaping knowledge,Some concerns,63.86111111,26.55555556,-0.416666667,-0.141,-3.243076923
Marks et al. (2000),23,99,none mentioned,effective,Team Interaction only / Control,Mental Model Similarity ,19.5,19.5,79,1.0754,0.118,Structured,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team training,multicomponent,shaping knowledge,Some concerns,63.86111111,26.55555556,-0.416666667,-0.141,-3.243076923
Millward (2006),25,107,none mentioned,non-effective,Training / No training,SMM - Spatial awareness,5,5,10,1.3253,0.5076,Perceptual,Subjective,Similarity,Team,University Students,Journal,No Treatment,NO,team training,multicomponent,shaping knowledge,Some concerns,-123.1388889,-42.44444444,1.583333333,-0.291,-1.773076923
Millward (2006),25,105,none mentioned,non-effective,Training / No training,SMM - Time Schedual,5,5,10,1.3025,0.504,Perceptual,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team training,multicomponent,shaping knowledge,Some concerns,-123.1388889,-42.44444444,1.583333333,-0.291,-1.773076923
Millward (2006),25,106,none mentioned,non-effective,Training / No training,SMM - Projected Performance,5,5,10,0.4456,0.4122,Perceptual,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,team training,multicomponent,shaping knowledge,Some concerns,-123.1388889,-42.44444444,1.583333333,-0.291,-1.773076923
Rentsch et al. (2014),30,115,"multiple (info sharing, expertise, computer mediation, knowledge objects)",effective,Team Knowledge Building / Control,Cognitive congruence,20,20,40,0.877741415,0.10783883,Structured,Subjective,Similarity,Combined,University Students,Journal,No Treatment,NO,team training,multicomponent,knowledge exchange ,Some concerns,-53.13888889,-12.44444444,-0.416666667,0.039,-0.573076923
Sikorski (2009),32,124,none mentioned,non-effective,Team knowledge sharing / Control,SMM - Team-SMM Structure (closeness),17,17,34,0.496641738,0.118583001,Structured,Subjective,Similarity,Combined,University Students,Thesis,No Treatment,NO,team training,multicomponent,knowledge exchange ,Low,-61.13888889,-18.44444444,0.083333333,0.019,-3.923076923
Sikorski (2009),32,123,none mentioned,non-effective,Team knowledge sharing / Control,SMM similarity - TADM (SD),17,17,34,0,0.114867994,Perceptual,Subjective,Similarity,Combined,University Students,Thesis,No Treatment,NO,team training,multicomponent,knowledge exchange ,Low,-61.13888889,-18.44444444,0.083333333,0.019,-3.923076923
Sikorski (2009),32,122,none mentioned,non-effective,Team knowledge sharing / Control,SMM - TADM (mean),17,17,34,-0.091357175,0.114993701,Perceptual,Subjective,Similarity,Combined,University Students,Thesis,No Treatment,NO,team training,multicomponent,knowledge exchange ,Low,-61.13888889,-18.44444444,0.083333333,0.019,-3.923076923
Andres (2012),1,1,social impact theory,effective,Tech Mediated / F-T-F ,Shared Mental Models,6,6,12,2.6583,0.6789,Perceptual,Researcher Assessed,Similarity,Task,University Students,Journal,No Treatment,Digital/Technology,work design,input,knowledge representation & structure,Low,-125.1388889,-40.44444444,0.583333333,9999,9999
Andres (2013),2,2,media synchronicity theory,effective,Tech Mediated / F-T-F ,Team Mental Models,6,6,12,4.480955937,1.214034528,Perceptual,Researcher Assessed,Similarity,Task,University Students,Journal,No Treatment,Digital/Technology,work design,input,knowledge representation & structure,Low,-125.1388889,-40.44444444,0.583333333,-0.031,6.126923077
Connors (2006),7,42,psychological distancing theory,promising,IGI-S/ No IGI,Schema Accuracy,6,6,21,1.22858179,0.375825543,Perceptual,Subjective,Accuracy,Team,University Students,Thesis,No Treatment,Digital/Technology,work design,input,knowledge representation & structure,Low,-131.1388889,-31.44444444,-1.416666667,-0.031,-3.253076923
Connors (2006),7,41,psychological distancing theory,promising,IGI-S/ No IGI,Schema Congruence,6,6,21,1.154023283,0.367806914,Perceptual,Subjective,Similarity,Team,University Students,Thesis,No Treatment,Digital/Technology,work design,input,knowledge representation & structure,Low,-131.1388889,-31.44444444,-1.416666667,-0.031,-3.253076923
Connors (2006),7,39,psychological distancing theory,promising,IGI-U / No IGI,Schema Congruence,6,6,21,0.172430517,0.30903439,Perceptual,Subjective,Similarity,Team,University Students,Thesis,No Treatment,Digital/Technology,work design,input,knowledge representation & structure,Low,-131.1388889,-31.44444444,-1.416666667,-0.031,-3.253076923
Connors (2006),7,40,psychological distancing theory,promising,IGI-U / No IGI,Schema Accuracy,6,6,21,0.11420022,0.308280995,Perceptual,Subjective,Accuracy,Team,University Students,Thesis,No Treatment,Digital/Technology,work design,input,knowledge representation & structure,Low,-131.1388889,-31.44444444,-1.416666667,-0.031,-3.253076923
Connors (2006),7,44,psychological distancing theory,promising,IGI-M/ No IGI,Schema Accuracy,3,6,21,0.07880679,0.444832601,Perceptual,Subjective,Accuracy,Team,University Students,Thesis,No Treatment,Digital/Technology,work design,input,knowledge representation & structure,Low,-131.1388889,-31.44444444,-1.416666667,-0.031,-3.253076923
Connors (2006),7,43,psychological distancing theory,promising,IGI-M/ No IGI,Schema Congruence,3,6,21,-0.092429754,0.444978398,Perceptual,Subjective,Similarity,Team,University Students,Thesis,No Treatment,Digital/Technology,work design,input,knowledge representation & structure,Low,-131.1388889,-31.44444444,-1.416666667,-0.031,-3.253076923
Curtis (2017),10,73,multiple (cognitive elaboration theory & elaboration likelihood model),non-effective,Chat + Shared Workspace / Chat only,Representing ,22,22,52,0.160656961,0.089574662,Perceptual,Objective,Similarity,Task,University Students,Thesis,Active,Digital/Technology,work design,input,knowledge exchange ,Some concerns,86.86111111,-0.444444444,1.583333333,9999,9999
de Vreede (2012),13,81,regulatory focus theory,non-effective,high info sharing / low info sharing ,Shared mental models,10,10,40,0.1457,0.1003,Perceptual,Subjective,Similarity,Team,University Students,Thesis,Active,NO,work design,input,knowledge exchange ,Some concerns,210.8611111,11.55555556,2.583333333,0.179,-1.573076923
Dube et al (2011),14,82,none mentioned,non-effective,SmartBoard / Traditional,Shared Mental Models,5,5,10,0.408871111,0.370544685,Structured,Subjective,Similarity,Task,9999,Thesis,Treatment as Usual ,Digital/Technology,work design,input,knowledge representation & structure,Some concerns,-13.13888889,-12.44444444,0.583333333,-0.021,-0.073076923
Ellwart et al. (2015),15,85,team adaptation theory,promising,Plan Formation / Control,Team Mental Models,30,31,121,1.429748882,0.081726317,Perceptual,Subjective,Similarity,Combined,University Students,Journal,No Treatment,NO,work design,input,shaping knowledge,Low,189.8611111,68.55555556,-0.416666667,0.219,-0.943076923
Ellwart et al. (2015),15,84,team adaptation theory,promising,Team SA / Control,Team Mental Models,30,31,121,1.356067112,0.08002207,Perceptual,Subjective,Similarity,Combined,University Students,Journal,No Treatment,NO,work design,input,shaping knowledge,Low,189.8611111,68.55555556,-0.416666667,0.219,-0.943076923
Ellwart et al. (2015),15,83,team adaptation theory,promising,Individual SA / Control,Team Mental Models,30,31,121,0.338255672,0.065704032,Perceptual,Subjective,Similarity,Combined,University Students,Journal,No Treatment,NO,work design,input,shaping knowledge,Low,189.8611111,68.55555556,-0.416666667,0.219,-0.943076923
Englemann et al (2014),16,88,information sampling model,non-effective,Group View / Control,SD Number Relations,20,20,40,0.370478845,0.099763705,Structured,Subjective,Similarity,Combined,University Students,Journal,Active,Digital/Technology,work design,input,knowledge representation & structure,Some concerns,-53.13888889,-12.44444444,-0.416666667,0.249,0.626923077
Englemann et al (2014),16,86,information sampling model,non-effective,Group View / Control,Concept Map similarity to expert,20,20,40,0.287152264,0.099064843,Structured,Subjective,Accuracy,Combined,University Students,Journal,Active,Digital/Technology,work design,input,knowledge representation & structure,Some concerns,-53.13888889,-12.44444444,-0.416666667,0.249,0.626923077
Englemann et al (2014),16,87,information sampling model,non-effective,Group View / Control,SD Number Nodes,20,20,40,0.272565834,0.098960721,Structured,Subjective,Similarity,Combined,University Students,Journal,Active,Digital/Technology,work design,input,knowledge representation & structure,Some concerns,-53.13888889,-12.44444444,-0.416666667,0.249,0.626923077
Hagemann et al. (2012),19,93,none mentioned,non-effective,Screen Projection ON / Screen Projection Off,SMM - Team,11,10,21,0.155273111,0.183870687,Perceptual,Subjective,Similarity,Team,University Students,Journal,Treatment as Usual ,Digital/Technology,work design,input,knowledge representation & structure,Some concerns,-110.1388889,-31.44444444,-0.416666667,0.089,-0.333076923
Hagemann et al. (2012),19,94,none mentioned,non-effective,Screen Projection ON / Screen Projection Off,SMM - Overall,11,10,21,-0.187490649,0.184144571,Perceptual,Subjective,Similarity,Combined,University Students,Journal,Treatment as Usual ,Digital/Technology,work design,input,knowledge representation & structure,Some concerns,-110.1388889,-31.44444444,-0.416666667,0.089,-0.333076923
Hagemann et al. (2012),19,92,none mentioned,non-effective,Screen Projection ON / Screen Projection Off,SMM - Task,11,10,21,-0.506725134,0.18964104,Perceptual,Subjective,Similarity,Task,University Students,Journal,Treatment as Usual ,Digital/Technology,work design,input,knowledge representation & structure,Some concerns,-110.1388889,-31.44444444,-0.416666667,0.089,-0.333076923
Kim & Kim (2008),20,95,coordination theory,non-effective,Tool Condition / Control condition,Shared Mental Models,2,2,6,0.73539772,0.689730717,Perceptual,Subjective,Similarity,Combined,University Students,Journal,No Treatment,Digital/Technology,work design,input,knowledge representation & structure,Some concerns,-155.1388889,-46.44444444,-0.416666667,0.029,0.926923077
Liu et al. (2015),21,97,none mentioned,non-effective,Interactive Smart Table /Projector display,Team Cognition,6,6,12,1.060638993,0.35847153,Perceptual,Subjective,Similarity,Task,University Students,Journal,Treatment as Usual ,Digital/Technology,work design,input,knowledge representation & structure,Some concerns,-101.1388889,-40.44444444,2.583333333,-0.181,0.496923077
Lowry et al. (2015),22,98,implicit coordination theory,non-effective,Collaborative Software / Traditional,Criterion -SDT (response bias),24,12,36,0.151756649,0.122549354,Structured,Objective,Similarity,Task,University Students,Journal,Treatment as Usual ,Digital/Technology,work design,input,knowledge representation & structure,Low,-65.13888889,-16.44444444,-0.416666667,9999,9999
Newlon (2016),26,109,collaborative information sharing,non-effective,Mega Collaboration Tool interface / Chat-only interface,Group cognitive  accuracy,6,6,36,0.3916,0.3408,Perceptual,Subjective,Accuracy,Team,9999,Thesis,Treatment as Usual ,Digital/Technology,work design,input,knowledge representation & structure,Low,-137.1388889,-40.44444444,-0.416666667,0.139,9999
Newlon (2016),26,108,collaborative information sharing,non-effective,Mega Collaboration Tool interface / Chat-only interface,Group cognitive similarity,6,6,36,0.0533,0.3335,Perceptual,Subjective,Similarity,Team,9999,Thesis,Treatment as Usual ,Digital/Technology,work design,input,knowledge representation & structure,Low,-137.1388889,-40.44444444,-0.416666667,0.139,9999
Van Ginkel et al. (2008a),34,127,none mentioned,promising,Elaboration / Control, Team Realization,9.3,9.3,28,0.897664747,0.227891667,Perceptual,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,work design,input,knowledge exchange ,Some concerns,-61.13888889,-24.44444444,0.583333333,-0.191,9999
Van Ginkel et al. (2008a),34,126,none mentioned,promising,Elaboration-Realisation / Control,Team Realization,9.3,9.3,28,-0.152538568,0.205844468,Perceptual,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,work design,input,knowledge exchange ,Some concerns,-61.13888889,-24.44444444,0.583333333,-0.191,9999
Van Ginkel et al. (2008b),35,128,none mentioned,promising,Elaboration-Realisation / Control,Team Realization,29,31,79,0.274272459,0.066509186,Perceptual,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,work design,input,knowledge exchange ,Some concerns,190.8611111,26.55555556,0.583333333,-0.161,-2.173076923
Van Ginkel et al. (2008b),35,129,none mentioned,promising,Elaboration / Control,Team Realization,31,31,79,-0.23740565,0.064166609,Perceptual,Subjective,Similarity,Task,University Students,Journal,No Treatment,NO,work design,input,knowledge exchange ,Some concerns,190.8611111,26.55555556,0.583333333,-0.161,-2.173076923
Yue et al. (2019),36,130,multiple (social interdependence theory & team cognition theory) ,non-effective,Cooperative reward structure / Competitive reward structure,SMM accuracy,31,31,62,-0.16432123,0.063926825,Perceptual,Subjective,Accuracy,Task,University Students,Journal,Active,NO,work design,input,reward structures,Some concerns,12.86111111,9.555555556,-0.416666667,-0.051,-3.123076923
Yue et al. (2019),36,131,multiple (social interdependence theory & team cognition theory) ,non-effective,Cooperative reward structure / Competitive reward structure,SMM similarity,31,31,62,-0.638936746,0.067040413,Perceptual,Subjective,Similarity,Task,University Students,Journal,Active,NO,work design,input,reward structures,Some concerns,12.86111111,9.555555556,-0.416666667,-0.051,-3.123076923
